Age,Arrival Service,Booking Services,Immediate Transfer,Lounge Service,Check-in Service,Boarding Service,Layover Service,Onboard Services,Baggage Service,Immigration Security,Call Center Service,Departure Delay,Arrival Delay,Total Delay,Age_log,Arrival Delay_log,Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Eco,Class_Leisure,Satisfaction_Satisfied
54,3,4,3,2,2,1,2,4,1,5,1,6,9.0,15.0,4.007333185232471,2.302585092994046,False,False,False,False,False,True
60,4,2,1,1,1,4,3,3,3,3,3,19,27.0,46.0,4.110873864173311,3.332204510175204,False,False,True,True,False,False
38,4,2,3,4,3,4,4,1,5,4,4,43,36.0,79.0,3.6635616461296463,3.6109179126442243,False,False,True,True,False,False
41,1,3,1,2,5,2,4,5,3,2,3,0,0.0,0.0,3.7376696182833684,0.0,False,False,False,False,False,True
36,3,4,4,1,4,4,5,4,3,2,5,16,31.0,47.0,3.6109179126442243,3.4657359027997265,True,False,False,False,False,True
54,5,5,4,5,4,2,4,4,5,4,5,5,0.0,5.0,4.007333185232471,0.0,False,False,False,False,False,True
55,3,3,5,4,3,3,5,2,3,2,2,0,0.0,0.0,4.02535169073515,0.0,True,False,False,False,False,True
59,5,3,4,5,5,2,1,3,2,5,5,0,0.0,0.0,4.0943445622221,0.0,True,False,False,False,False,True
26,1,1,2,3,3,1,5,2,5,4,1,67,13.91689653,80.91689653,3.295836866004329,2.7024945657664268,True,True,False,True,False,False
67,2,3,4,1,3,2,2,4,4,1,5,15,2.0,17.0,4.219507705176107,1.0986122886681098,True,False,True,True,False,False
7,4,5,3,3,4,5,1,2,5,4,3,0,0.0,0.0,2.0794415416798357,0.0,True,False,True,False,False,False
47,1,2,5,3,3,3,4,3,1,1,2,20,9.0,29.0,3.871201010907891,2.302585092994046,False,False,False,False,False,True
41,4,4,2,3,4,2,2,3,2,5,1,0,0.0,0.0,3.7376696182833684,0.0,False,False,False,True,False,True
32,2,1,2,1,5,3,2,2,2,3,1,53,91.0,144.0,3.4965075614664802,4.5217885770490405,True,False,False,False,False,True
37,2,4,1,4,5,2,2,3,4,5,4,4,0.0,4.0,3.6375861597263857,0.0,False,False,False,True,False,False
15,1,2,3,5,5,4,4,4,2,4,1,30,33.0,63.0,2.772588722239781,3.5263605246161616,False,False,True,False,False,False
36,2,3,4,4,4,4,4,5,2,4,2,0,11.0,11.0,3.6109179126442243,2.4849066497880004,False,False,False,True,False,True
52,5,5,4,4,2,1,2,2,2,3,4,0,0.0,0.0,3.970291913552122,0.0,False,False,False,False,False,True
44,2,1,1,4,2,4,1,1,4,2,2,1,0.0,1.0,3.8066624897703196,0.0,True,True,False,False,False,False
44,4,5,4,5,2,5,2,3,4,2,4,0,0.0,0.0,3.8066624897703196,0.0,True,False,False,True,False,True
55,4,5,2,5,2,4,4,1,4,3,4,6,0.0,6.0,4.02535169073515,0.0,True,False,False,False,False,True
37,4,5,4,1,5,5,4,2,2,2,4,0,0.0,0.0,3.6375861597263857,0.0,True,False,True,True,False,False
26,4,5,4,2,2,2,5,2,5,4,2,0,0.0,0.0,3.295836866004329,0.0,True,True,False,False,False,True
46,5,2,2,5,3,2,3,1,5,1,2,6,0.0,6.0,3.8501476017100584,0.0,True,False,False,False,False,True
47,3,5,3,5,4,5,1,4,1,2,4,0,0.0,0.0,3.871201010907891,0.0,True,False,False,False,False,True
63,1,5,3,2,2,1,5,5,5,2,2,0,34.0,34.0,4.1588830833596715,3.5553480614894135,False,False,True,True,False,False
28,4,2,2,5,5,4,3,3,3,2,5,0,2.0,2.0,3.367295829986474,1.0986122886681098,False,True,False,True,False,True
36,2,4,2,4,2,5,4,3,5,1,5,4,3.0,7.0,3.6109179126442243,1.3862943611198906,True,False,False,False,False,True
12,4,2,5,5,4,4,3,2,4,3,3,0,0.0,0.0,2.5649493574615367,0.0,False,False,True,True,False,False
12,2,3,5,1,1,3,4,1,3,5,5,0,0.0,0.0,2.5649493574615367,0.0,True,False,True,True,False,False
49,2,2,4,5,1,1,2,5,2,5,4,0,1.0,1.0,3.912023005428146,0.6931471805599453,True,False,False,False,False,True
44,4,4,4,2,5,2,1,3,4,3,3,0,0.0,0.0,3.8066624897703196,0.0,True,False,False,False,False,True
52,5,3,5,4,5,5,4,1,5,2,2,0,0.0,0.0,3.970291913552122,0.0,True,False,True,True,False,False
54,2,3,4,2,5,3,4,2,2,3,3,0,0.0,0.0,4.007333185232471,0.0,False,False,True,True,False,False
54,2,1,3,5,2,5,4,5,1,1,4,36,9.0,45.0,4.007333185232471,2.302585092994046,True,False,False,False,False,True
48,4,5,3,5,4,5,3,2,4,5,4,0,0.0,0.0,3.8918202981106265,0.0,False,False,False,False,False,True
33,2,3,1,1,4,5,4,1,3,3,1,1,0.0,1.0,3.5263605246161616,0.0,True,False,False,False,False,True
51,2,3,5,4,4,5,2,2,4,5,5,0,0.0,0.0,3.9512437185814275,0.0,False,False,False,True,False,True
47,4,4,3,5,1,2,5,3,3,5,5,0,6.0,6.0,3.871201010907891,1.9459101490553132,False,False,False,False,False,True
18,4,3,1,1,4,2,5,2,3,3,3,0,52.0,52.0,2.9444389791664403,3.970291913552122,False,False,True,True,False,False
52,1,4,2,1,5,2,5,4,1,2,3,0,0.0,0.0,3.970291913552122,0.0,False,False,False,False,False,True
23,5,5,3,2,2,1,4,4,3,1,5,0,2.0,2.0,3.1780538303479458,1.0986122886681098,True,True,False,True,False,True
55,5,1,1,4,1,2,2,4,2,5,4,0,5.0,5.0,4.02535169073515,1.791759469228055,False,False,True,False,True,True
22,2,1,4,3,2,4,3,3,3,5,2,54,81.0,135.0,3.1354942159291497,4.406719247264253,False,True,False,True,False,True
12,5,5,1,1,3,2,1,2,3,4,4,41,99.0,140.0,2.5649493574615367,4.605170185988092,False,False,True,True,False,False
20,2,5,3,3,5,5,3,3,3,2,2,29,24.0,53.0,3.044522437723423,3.2188758248682006,True,False,True,False,True,False
38,1,2,4,2,1,5,4,4,4,1,1,0,0.0,0.0,3.6635616461296463,0.0,True,False,False,True,False,True
43,4,3,4,1,5,4,2,5,3,5,3,0,0.0,0.0,3.784189633918261,0.0,True,False,False,False,False,True
44,4,3,1,4,2,3,1,4,4,2,1,7,10.0,17.0,3.8066624897703196,2.3978952727983707,False,False,False,False,False,True
49,4,3,1,3,4,5,4,1,4,1,4,27,22.0,49.0,3.912023005428146,3.1354942159291497,True,False,False,False,False,True
36,5,4,3,4,3,5,2,5,5,2,3,0,0.0,0.0,3.6109179126442243,0.0,True,False,False,False,False,True
59,1,2,4,3,5,2,3,4,1,1,1,0,0.0,0.0,4.0943445622221,0.0,False,False,False,False,False,True
45,5,3,5,2,3,2,2,2,1,4,2,8,2.0,10.0,3.828641396489095,1.0986122886681098,True,False,False,False,False,True
28,5,4,1,1,2,5,2,5,1,4,1,44,25.0,69.0,3.367295829986474,3.258096538021482,True,False,True,True,False,False
39,1,4,5,1,5,4,3,3,3,4,1,22,12.0,34.0,3.6888794541139363,2.5649493574615367,True,False,False,False,True,True
46,1,1,5,2,4,5,5,5,5,1,4,2,0.0,2.0,3.8501476017100584,0.0,False,False,False,False,False,True
44,1,4,4,5,3,2,1,2,5,3,3,4,0.0,4.0,3.8066624897703196,0.0,True,False,False,False,False,True
25,1,5,3,3,1,2,3,3,1,4,3,0,0.0,0.0,3.258096538021482,0.0,True,False,False,False,False,True
53,4,4,5,3,2,2,1,4,1,1,1,74,84.0,158.0,3.9889840465642745,4.442651256490317,True,False,False,False,False,True
24,3,5,3,5,5,4,4,2,1,3,1,31,18.0,49.0,3.2188758248682006,2.9444389791664403,False,True,False,True,False,True
33,3,5,1,2,1,5,4,5,4,5,4,0,0.0,0.0,3.5263605246161616,0.0,False,False,False,False,False,True
33,1,1,4,4,4,2,5,1,4,4,2,35,32.0,67.0,3.5263605246161616,3.4965075614664802,False,True,False,False,False,False
39,3,1,2,4,4,3,5,5,3,5,4,0,0.0,0.0,3.6888794541139363,0.0,True,False,True,True,False,False
23,3,4,4,2,3,2,3,3,2,3,2,0,0.0,0.0,3.1780538303479458,0.0,True,True,False,False,False,True
25,1,1,2,4,2,1,3,4,4,1,1,0,16.0,16.0,3.258096538021482,2.833213344056216,False,False,False,False,False,True
41,3,1,1,2,5,3,1,5,5,3,1,0,0.0,0.0,3.7376696182833684,0.0,False,False,False,False,False,True
51,5,3,3,3,1,2,3,2,4,2,3,30,19.0,49.0,3.9512437185814275,2.995732273553991,True,False,False,True,False,False
18,2,4,1,3,5,1,5,4,5,4,1,6,0.0,6.0,2.9444389791664403,0.0,True,False,False,False,False,True
34,2,4,4,5,1,4,5,2,5,3,5,35,47.0,82.0,3.5553480614894135,3.871201010907891,False,False,True,True,False,False
34,1,4,2,2,2,1,5,5,4,5,4,7,9.0,16.0,3.5553480614894135,2.302585092994046,True,False,False,False,False,True
45,4,1,2,4,4,5,1,1,4,3,4,0,0.0,0.0,3.828641396489095,0.0,True,False,True,True,False,False
41,1,1,4,2,4,5,3,5,1,3,1,0,0.0,0.0,3.7376696182833684,0.0,False,False,False,False,False,True
26,4,5,4,1,5,4,3,2,5,4,2,0,0.0,0.0,3.295836866004329,0.0,False,True,False,True,False,True
17,2,2,1,5,5,4,1,2,3,2,4,0,0.0,0.0,2.8903717578961645,0.0,True,True,True,True,False,True
34,1,2,5,1,3,4,1,2,2,1,5,68,72.0,140.0,3.5553480614894135,4.290459441148391,False,False,False,False,False,True
31,5,2,2,5,1,1,2,1,4,2,5,0,0.0,0.0,3.4657359027997265,0.0,False,False,False,False,False,True
47,3,3,4,5,3,1,1,1,1,4,4,0,0.0,0.0,3.871201010907891,0.0,False,False,False,False,False,True
26,4,1,1,5,1,4,3,5,2,2,5,37,13.91689653,50.91689653,3.295836866004329,2.7024945657664268,True,True,False,True,False,False
39,3,5,5,1,2,1,3,2,3,3,4,45,43.0,88.0,3.6888794541139363,3.784189633918261,False,False,False,False,False,True
49,3,5,3,5,5,5,5,4,4,1,4,0,0.0,0.0,3.912023005428146,0.0,False,False,False,False,False,True
28,1,2,4,2,1,2,5,4,1,3,4,0,0.0,0.0,3.367295829986474,0.0,True,False,False,False,False,True
51,3,3,5,2,4,3,2,5,1,1,3,37,33.0,70.0,3.9512437185814275,3.5263605246161616,False,False,False,False,False,True
46,5,3,3,1,2,4,1,4,4,1,1,0,0.0,0.0,3.8501476017100584,0.0,True,False,False,False,False,True
26,3,2,3,3,4,5,4,5,5,2,5,0,0.0,0.0,3.295836866004329,0.0,False,False,False,False,False,False
35,1,2,1,3,2,1,2,5,4,4,5,0,8.0,8.0,3.58351893845611,2.1972245773362196,False,False,False,True,False,True
40,5,1,2,1,1,3,1,3,1,5,5,12,4.0,16.0,3.713572066704308,1.6094379124341003,True,False,False,False,False,True
41,2,3,4,5,4,4,3,5,3,2,4,0,0.0,0.0,3.7376696182833684,0.0,False,False,False,True,False,True
48,3,5,5,5,1,1,2,5,3,5,4,0,0.0,0.0,3.8918202981106265,0.0,False,False,False,True,False,True
51,1,2,3,5,3,1,2,1,3,4,1,1,1.0,2.0,3.9512437185814275,0.6931471805599453,True,False,True,True,False,True
56,2,1,2,1,2,3,1,3,1,3,3,0,0.0,0.0,4.04305126783455,0.0,False,False,False,False,False,True
56,2,5,3,5,5,1,3,2,4,4,4,0,0.0,0.0,4.04305126783455,0.0,True,False,False,False,False,True
25,4,3,4,2,4,3,1,4,4,4,4,0,0.0,0.0,3.258096538021482,0.0,False,False,False,False,False,True
57,5,2,4,5,1,5,3,5,4,2,2,0,0.0,0.0,4.060443010546419,0.0,True,False,False,False,False,True
42,3,2,1,1,4,4,3,5,5,4,5,50,40.0,90.0,3.7612001156935624,3.713572066704308,True,False,False,False,False,True
42,1,1,4,5,1,1,5,2,5,4,4,9,6.0,15.0,3.7612001156935624,1.9459101490553132,False,False,False,False,False,True
43,4,1,4,2,3,2,4,5,4,2,5,0,0.0,0.0,3.784189633918261,0.0,True,False,False,False,False,True
59,5,3,4,1,5,3,5,1,5,3,1,0,0.0,0.0,4.0943445622221,0.0,False,False,False,False,False,True
55,4,2,2,3,4,5,2,4,5,5,1,0,3.0,3.0,4.02535169073515,1.3862943611198906,False,False,False,False,False,True
55,5,1,5,1,4,2,2,5,4,2,3,0,0.0,0.0,4.02535169073515,0.0,True,False,False,False,False,True
32,5,2,5,4,1,4,1,3,4,4,1,0,0.0,0.0,3.4965075614664802,0.0,True,False,True,True,False,False
52,3,3,4,3,1,5,1,3,1,2,3,0,0.0,0.0,3.970291913552122,0.0,True,False,False,False,False,True
43,5,2,5,3,4,3,1,2,4,5,3,54,70.0,124.0,3.784189633918261,4.2626798770413155,False,False,False,True,False,True
54,4,5,4,1,3,5,5,3,4,1,3,0,0.0,0.0,4.007333185232471,0.0,True,False,False,False,False,True
41,5,2,5,4,4,5,3,2,4,5,4,0,0.0,0.0,3.7376696182833684,0.0,True,False,False,False,False,True
33,3,4,5,3,2,5,4,5,4,3,3,95,99.0,194.0,3.5263605246161616,4.605170185988092,False,False,False,False,False,True
40,3,4,3,5,2,4,2,3,2,4,2,0,1.0,1.0,3.713572066704308,0.6931471805599453,False,False,False,False,False,True
30,4,3,2,4,4,2,2,1,2,5,4,8,3.0,11.0,3.4339872044851463,1.3862943611198906,False,False,False,False,False,True
15,2,3,3,4,3,5,1,2,3,2,2,0,1.0,1.0,2.772588722239781,0.6931471805599453,False,False,True,True,False,False
38,2,3,3,1,1,1,5,3,4,1,2,38,80.0,118.0,3.6635616461296463,4.394449154672439,False,False,False,False,False,False
63,5,5,5,1,1,5,1,4,5,1,4,1,0.0,1.0,4.1588830833596715,0.0,True,False,True,True,False,False
61,1,5,1,1,4,5,5,1,2,5,1,0,0.0,0.0,4.127134385045092,0.0,True,False,False,False,False,True
55,5,2,1,4,5,4,3,1,2,1,2,1,0.0,1.0,4.02535169073515,0.0,False,False,False,False,False,False
27,4,1,2,2,1,4,1,2,1,3,2,0,0.0,0.0,3.332204510175204,0.0,False,False,True,True,False,True
20,4,4,4,1,2,4,3,3,5,5,3,93,92.0,185.0,3.044522437723423,4.532599493153256,False,False,True,False,False,True
34,4,4,5,2,2,4,2,4,5,5,3,45,62.0,107.0,3.5553480614894135,4.143134726391533,False,False,False,False,False,True
35,4,4,2,3,5,5,2,3,2,4,2,14,7.0,21.0,3.58351893845611,2.0794415416798357,True,False,True,False,True,False
65,4,2,3,5,5,5,2,3,1,2,3,0,0.0,0.0,4.189654742026425,0.0,True,False,True,True,False,False
26,3,2,5,5,2,3,3,3,3,4,3,0,0.0,0.0,3.295836866004329,0.0,True,True,False,True,False,False
22,2,3,3,2,4,4,1,2,4,2,5,26,32.0,58.0,3.1354942159291497,3.4965075614664802,True,True,False,False,False,True
43,4,1,2,4,4,3,5,2,5,2,3,0,0.0,0.0,3.784189633918261,0.0,True,True,True,True,False,True
32,1,3,1,5,4,2,5,2,4,4,1,0,0.0,0.0,3.4965075614664802,0.0,False,False,False,False,False,True
40,1,2,2,2,2,4,1,3,4,2,1,20,16.0,36.0,3.713572066704308,2.833213344056216,False,False,False,False,False,True
51,1,5,5,1,5,2,4,3,4,3,3,0,0.0,0.0,3.9512437185814275,0.0,False,False,False,False,False,True
56,1,3,5,2,3,1,5,4,3,4,1,0,0.0,0.0,4.04305126783455,0.0,True,False,False,False,False,False
48,3,2,4,3,2,5,5,1,4,2,3,0,0.0,0.0,3.8918202981106265,0.0,False,False,False,False,False,True
24,1,2,1,2,2,5,1,1,3,1,4,1,0.0,1.0,3.2188758248682006,0.0,True,False,False,False,False,True
46,4,5,5,1,1,3,1,3,2,4,5,0,0.0,0.0,3.8501476017100584,0.0,True,False,False,False,False,True
54,5,5,1,2,4,5,1,1,2,5,2,0,5.0,5.0,4.007333185232471,1.791759469228055,False,False,False,False,False,True
40,1,5,5,1,1,2,4,3,1,5,5,0,0.0,0.0,3.713572066704308,0.0,True,False,False,False,False,True
25,3,1,1,1,2,5,3,5,5,1,3,0,0.0,0.0,3.258096538021482,0.0,False,False,False,True,False,True
30,3,2,2,3,2,4,2,1,1,5,3,0,0.0,0.0,3.4339872044851463,0.0,True,False,False,False,False,True
49,1,5,1,3,2,1,3,2,5,1,3,0,21.0,21.0,3.912023005428146,3.091042453358316,True,False,False,False,False,True
35,5,1,3,5,3,3,3,2,5,1,4,18,14.0,32.0,3.58351893845611,2.70805020110221,True,True,False,True,False,False
42,1,4,2,1,1,3,1,2,2,2,1,0,0.0,0.0,3.7612001156935624,0.0,True,False,False,False,False,True
22,3,4,5,1,5,3,1,5,1,3,4,72,63.0,135.0,3.1354942159291497,4.1588830833596715,True,True,False,False,False,True
54,2,4,5,1,4,4,1,2,3,1,3,0,0.0,0.0,4.007333185232471,0.0,False,False,False,False,False,True
72,4,2,4,5,4,5,2,5,3,1,5,0,0.0,0.0,4.290459441148391,0.0,True,False,False,True,False,True
55,3,1,3,4,3,4,3,3,5,4,1,0,24.0,24.0,4.02535169073515,3.2188758248682006,True,False,False,False,False,True
57,1,1,4,3,1,2,2,4,3,2,2,0,4.0,4.0,4.060443010546419,1.6094379124341003,False,False,False,False,False,True
49,4,4,2,3,4,5,5,5,2,1,5,0,0.0,0.0,3.912023005428146,0.0,False,False,False,False,False,True
35,1,3,4,1,2,4,3,2,1,3,3,0,24.0,24.0,3.58351893845611,3.2188758248682006,False,False,False,False,False,True
60,1,4,2,5,1,2,2,2,3,3,4,0,0.0,0.0,4.110873864173311,0.0,False,False,False,False,False,True
30,2,2,4,1,4,2,2,5,5,4,5,0,0.0,0.0,3.4339872044851463,0.0,True,False,False,False,True,True
42,4,4,1,3,1,4,4,1,1,2,4,0,0.0,0.0,3.7612001156935624,0.0,True,True,False,False,False,True
25,4,4,2,5,3,4,2,2,3,4,4,0,0.0,0.0,3.258096538021482,0.0,False,True,False,False,False,True
42,2,1,2,2,5,1,2,1,3,5,2,7,3.0,10.0,3.7612001156935624,1.3862943611198906,False,False,False,False,False,True
62,3,4,1,3,5,4,4,1,4,2,1,5,7.0,12.0,4.143134726391533,2.0794415416798357,False,False,True,True,False,False
26,1,5,1,2,1,3,2,4,1,4,2,0,0.0,0.0,3.295836866004329,0.0,True,True,False,False,False,False
36,5,5,3,4,3,5,3,4,5,2,1,0,0.0,0.0,3.6109179126442243,0.0,True,False,False,False,False,True
62,1,3,1,2,4,2,1,4,1,1,5,0,0.0,0.0,4.143134726391533,0.0,False,False,False,False,False,True
12,1,2,4,5,2,3,3,3,5,5,1,41,44.0,85.0,2.5649493574615367,3.8066624897703196,False,False,True,True,False,False
47,3,2,1,2,1,3,1,5,5,2,5,0,10.0,10.0,3.871201010907891,2.3978952727983707,False,False,False,False,False,True
52,1,1,1,4,1,2,4,1,5,2,3,0,0.0,0.0,3.970291913552122,0.0,False,False,True,True,False,False
28,2,2,2,3,4,5,2,2,2,5,4,11,5.0,16.0,3.367295829986474,1.791759469228055,False,False,False,False,False,True
40,2,3,2,4,2,1,4,3,3,1,3,0,0.0,0.0,3.713572066704308,0.0,False,False,True,True,False,False
50,4,5,1,5,2,1,4,4,3,3,2,0,0.0,0.0,3.9318256327243257,0.0,False,False,False,False,False,True
29,5,1,3,2,4,3,4,5,3,5,1,0,0.0,0.0,3.4011973816621555,0.0,True,False,False,False,False,True
54,1,5,2,2,1,3,3,3,2,5,1,0,0.0,0.0,4.007333185232471,0.0,False,False,False,False,False,True
26,1,3,4,5,4,4,4,2,3,4,2,0,13.0,13.0,3.295836866004329,2.6390573296152584,True,True,False,False,False,True
50,3,1,4,1,5,1,2,3,4,1,4,62,53.0,115.0,3.9318256327243257,3.9889840465642745,False,False,False,True,False,True
42,2,4,1,5,4,1,5,1,2,1,3,0,0.0,0.0,3.7612001156935624,0.0,True,False,False,False,False,True
54,5,2,1,5,3,5,4,4,2,1,3,7,9.0,16.0,4.007333185232471,2.302585092994046,True,False,False,False,False,True
59,4,3,3,4,1,4,1,3,3,4,4,10,11.0,21.0,4.0943445622221,2.4849066497880004,False,False,False,False,False,True
80,2,1,1,4,3,2,2,1,4,5,4,31,22.0,53.0,4.394449154672439,3.1354942159291497,False,False,False,False,False,False
46,4,5,5,5,1,2,2,3,5,1,3,0,0.0,0.0,3.8501476017100584,0.0,True,False,False,False,False,True
40,3,1,5,3,1,5,5,2,5,1,3,7,0.0,7.0,3.713572066704308,0.0,False,False,False,False,False,True
51,3,4,1,2,5,2,2,4,3,1,4,0,0.0,0.0,3.9512437185814275,0.0,True,False,False,False,False,True
21,1,3,5,5,4,1,2,4,1,3,1,20,26.0,46.0,3.091042453358316,3.295836866004329,True,False,False,True,False,True
44,5,1,4,1,4,3,4,3,3,1,1,17,25.0,42.0,3.8066624897703196,3.258096538021482,False,False,False,False,False,True
25,4,3,1,2,5,4,5,5,3,2,1,0,0.0,0.0,3.258096538021482,0.0,True,True,False,False,False,True
59,2,3,4,3,5,2,4,2,3,3,1,0,0.0,0.0,4.0943445622221,0.0,False,False,True,True,False,False
47,3,5,4,5,2,2,5,2,5,3,2,14,2.0,16.0,3.871201010907891,1.0986122886681098,True,False,False,False,False,True
25,1,2,5,3,3,2,5,2,3,1,3,0,0.0,0.0,3.258096538021482,0.0,True,True,False,False,False,True
45,1,4,3,2,1,2,4,5,4,4,1,0,0.0,0.0,3.828641396489095,0.0,True,False,False,False,False,True
29,4,1,4,1,2,3,2,5,1,5,2,0,0.0,0.0,3.4011973816621555,0.0,False,False,True,True,False,False
34,3,2,5,2,4,3,3,2,3,4,2,70,30.0,100.0,3.5553480614894135,3.4339872044851463,True,False,False,False,False,True
39,5,5,3,2,2,5,4,4,1,4,2,92,75.0,167.0,3.6888794541139363,4.330733340286331,True,False,False,False,True,True
51,3,2,5,5,4,1,5,1,2,5,4,0,0.0,0.0,3.9512437185814275,0.0,True,False,False,False,False,True
40,4,3,5,2,5,2,4,3,1,3,3,0,2.0,2.0,3.713572066704308,1.0986122886681098,False,False,False,False,False,True
27,4,3,1,5,1,5,2,3,5,3,4,1,0.0,1.0,3.332204510175204,0.0,True,False,False,False,False,True
23,3,4,2,5,1,1,3,5,5,4,3,0,0.0,0.0,3.1780538303479458,0.0,True,True,False,False,False,True
32,4,1,3,3,1,3,2,2,5,5,3,0,0.0,0.0,3.4965075614664802,0.0,False,True,False,False,False,False
54,3,1,5,1,5,2,5,2,1,3,4,4,0.0,4.0,4.007333185232471,0.0,True,False,False,True,False,False
61,2,5,4,5,4,3,5,4,3,1,1,56,92.0,148.0,4.127134385045092,4.532599493153256,True,False,False,True,False,True
66,3,4,4,4,5,2,5,3,3,2,2,0,0.0,0.0,4.204692619390966,0.0,False,False,False,False,False,True
41,3,1,2,3,1,3,5,2,4,2,5,0,0.0,0.0,3.7376696182833684,0.0,True,False,False,True,False,True
35,4,3,3,5,1,5,3,3,3,5,4,0,0.0,0.0,3.58351893845611,0.0,True,False,False,False,False,True
43,4,4,1,5,1,5,3,3,5,3,2,0,0.0,0.0,3.784189633918261,0.0,True,False,False,False,False,True
61,1,2,3,3,4,3,5,2,3,4,2,5,45.0,50.0,4.127134385045092,3.828641396489095,False,False,False,False,False,True
39,1,4,4,2,4,3,4,3,2,1,1,0,0.0,0.0,3.6888794541139363,0.0,False,False,True,True,False,True
47,2,4,4,5,2,4,1,3,2,4,3,56,52.0,108.0,3.871201010907891,3.970291913552122,True,False,False,False,False,True
39,1,1,1,1,2,2,4,4,4,4,5,22,18.0,40.0,3.6888794541139363,2.9444389791664403,True,False,False,True,False,True
11,3,5,1,5,3,4,4,5,2,2,2,42,56.0,98.0,2.4849066497880004,4.04305126783455,False,False,True,True,False,False
34,4,5,4,3,4,3,5,5,2,5,1,0,0.0,0.0,3.5553480614894135,0.0,True,False,False,False,False,True
28,1,1,5,4,5,5,3,4,5,2,2,0,0.0,0.0,3.367295829986474,0.0,True,False,False,False,False,True
