Customer ID,Gender,Customer Type,Age,Type of Travel,Class,Arrival Service,Booking Services,Immediate Transfer,Lounge Service,Check-in Service,Boarding Service,Layover Service,Onboard Services,Baggage Service,Immigration Security,Call Center Service,Departure Delay,Arrival Delay,Total Delay,Satisfaction
110736,Male,Loyal Customer,47,Business travel,Business,3,5,3,5,4,5,1,4,1,2,4,0,0,0,Satisfied
23346,Female,Loyal Customer,63,Personal Travel,Eco,1,5,3,2,2,1,5,5,5,2,2,0,34,34,DisSatisfied
50484,Female,disloyal Customer,28,Business travel,Eco,4,2,2,5,5,4,3,3,3,2,5,0,2,2,Satisfied
101965,Male,Loyal Customer,36,Business travel,Business,2,4,2,4,2,5,4,3,5,1,5,4,3,7,Satisfied
73002,Female,Loyal Customer,12,Personal Travel,Eco,4,2,5,5,4,4,3,2,4,3,3,0,0,0,DisSatisfied
9189,Male,Loyal Customer,12,Personal Travel,Eco,2,3,5,1,1,3,4,1,3,5,5,0,0,0,DisSatisfied
49679,Male,Loyal Customer,49,Business travel,Business,2,2,4,5,1,1,2,5,2,5,4,0,1,1,Satisfied
84077,Male,Loyal Customer,44,Business travel,Business,4,4,4,2,5,2,1,3,4,3,3,0,0,0,Satisfied
82721,Male,Loyal Customer,52,Personal Travel,Eco,5,3,5,4,5,5,4,1,5,2,2,0,0,0,DisSatisfied
98987,Female,Loyal Customer,54,Personal Travel,Eco,2,3,4,2,5,3,4,2,2,3,3,0,0,0,DisSatisfied
64309,Male,Loyal Customer,54,Business travel,Business,2,1,3,5,2,5,4,5,1,1,4,36,9,45,Satisfied
11885,Female,Loyal Customer,48,Business travel,Business,4,5,3,5,4,5,3,2,4,5,4,0,0,0,Satisfied
129421,Male,Loyal Customer,33,Business travel,Business,2,3,1,1,4,5,4,1,3,3,1,1,0,1,Satisfied
49718,Female,Loyal Customer,51,Business travel,Eco,2,3,5,4,4,5,2,2,4,5,5,0,0,0,Satisfied
125595,Female,Loyal Customer,47,Business travel,Business,4,4,3,5,1,2,5,3,3,5,5,0,6,6,Satisfied
37680,Female,Loyal Customer,18,Personal Travel,Eco,4,3,1,1,4,2,5,2,3,3,3,0,52,52,DisSatisfied
69737,Female,Loyal Customer,52,Business travel,Business,1,4,2,1,5,2,5,4,1,2,3,0,0,0,Satisfied
70755,Male,disloyal Customer,23,Business travel,Eco,5,5,3,2,2,1,4,4,3,1,5,0,2,2,Satisfied
30417,Female,Loyal Customer,55,Personal Travel,Leisure,5,1,1,4,1,2,2,4,2,5,4,0,5,5,Satisfied
16226,Female,disloyal Customer,22,Business travel,Eco,2,1,4,3,2,4,3,3,3,5,2,54,81,135,Satisfied
30789,Female,Loyal Customer,12,Personal Travel,Eco,5,5,1,1,3,2,1,2,3,4,4,41,99,140,DisSatisfied
73064,Male,Loyal Customer,20,Personal Travel,Leisure,2,5,3,3,5,5,3,3,3,2,2,29,24,53,DisSatisfied
14632,Male,Loyal Customer,38,Business travel,Eco,1,2,4,2,1,5,4,4,4,1,1,0,0,0,Satisfied
99779,Male,Loyal Customer,43,Business travel,Business,4,3,4,1,5,4,2,5,3,5,3,0,0,0,Satisfied
49103,Female,Loyal Customer,44,Business travel,Business,4,3,1,4,2,3,1,4,4,2,1,7,10,17,Satisfied
117382,Male,Loyal Customer,49,Business travel,Business,4,3,1,3,4,5,4,1,4,1,4,27,22,49,Satisfied
56212,Male,Loyal Customer,36,Business travel,Business,5,4,3,4,3,5,2,5,5,2,3,0,0,0,Satisfied
114967,Female,Loyal Customer,59,Business travel,Business,1,2,4,3,5,2,3,4,1,1,1,0,0,0,Satisfied
58304,Male,Loyal Customer,45,Business travel,Business,5,3,5,2,3,2,2,2,1,4,2,8,2,10,Satisfied
75248,Male,Loyal Customer,28,Personal Travel,Eco,5,4,1,1,2,5,2,5,1,4,1,44,25,69,DisSatisfied
31741,Male,Loyal Customer,39,Business travel,Leisure,1,4,5,1,5,4,3,3,3,4,1,22,12,34,Satisfied
124224,Female,Loyal Customer,46,Business travel,Business,1,1,5,2,4,5,5,5,5,1,4,2,0,2,Satisfied
108041,Male,Loyal Customer,44,Business travel,Business,1,4,4,5,3,2,1,2,5,3,3,4,0,4,Satisfied
29597,Male,Loyal Customer,25,Business travel,Business,1,5,3,3,1,2,3,3,1,4,3,0,0,0,Satisfied
105596,Male,Loyal Customer,53,Business travel,Business,4,4,5,3,2,2,1,4,1,1,1,74,84,158,Satisfied
111740,Female,disloyal Customer,24,Business travel,Eco,3,5,3,5,5,4,4,2,1,3,1,31,18,49,Satisfied
16068,Female,Loyal Customer,33,Business travel,Business,3,5,1,2,1,5,4,5,4,5,4,0,0,0,Satisfied
129411,Female,disloyal Customer,33,Business travel,Business,1,1,4,4,4,2,5,1,4,4,2,35,32,67,DisSatisfied
2903,Male,Loyal Customer,39,Personal Travel,Eco,3,1,2,4,4,3,5,5,3,5,4,0,0,0,DisSatisfied
32402,Male,disloyal Customer,23,Business travel,Business,3,4,4,2,3,2,3,3,2,3,2,0,0,0,Satisfied
122189,Female,Loyal Customer,25,Business travel,Business,1,1,2,4,2,1,3,4,4,1,1,0,16,16,Satisfied
72887,Female,Loyal Customer,41,Business travel,Business,3,1,1,2,5,3,1,5,5,3,1,0,0,0,Satisfied
46383,Male,Loyal Customer,51,Business travel,Eco,5,3,3,3,1,2,3,2,4,2,3,30,19,49,DisSatisfied
12211,Male,Loyal Customer,18,Business travel,Business,2,4,1,3,5,1,5,4,5,4,1,6,0,6,Satisfied
5822,Female,Loyal Customer,34,Personal Travel,Eco,2,4,4,5,1,4,5,2,5,3,5,35,47,82,DisSatisfied
25215,Male,Loyal Customer,34,Business travel,Business,1,4,2,2,2,1,5,5,4,5,4,7,9,16,Satisfied
47937,Male,Loyal Customer,45,Personal Travel,Eco,4,1,2,4,4,5,1,1,4,3,4,0,0,0,DisSatisfied
60369,Female,Loyal Customer,41,Business travel,Business,1,1,4,2,4,5,3,5,1,3,1,0,0,0,Satisfied
22383,Female,disloyal Customer,26,Business travel,Eco,4,5,4,1,5,4,3,2,5,4,2,0,0,0,Satisfied
121462,Male,disloyal Customer,17,Personal Travel,Eco,2,2,1,5,5,4,1,2,3,2,4,0,0,0,Satisfied
117880,Female,Loyal Customer,34,Business travel,Business,1,2,5,1,3,4,1,2,2,1,5,68,72,140,Satisfied
120952,Female,Loyal Customer,31,Business travel,Business,5,2,2,5,1,1,2,1,4,2,5,0,0,0,Satisfied
120365,Female,Loyal Customer,47,Business travel,Business,3,3,4,5,3,1,1,1,1,4,4,0,0,0,Satisfied
43573,Male,disloyal Customer,26,Business travel,Eco,4,1,1,5,1,4,3,5,2,2,5,37,13.91689653,50.91689653,DisSatisfied
118375,Female,Loyal Customer,39,Business travel,Business,3,5,5,1,2,1,3,2,3,3,4,45,43,88,Satisfied
81138,Female,Loyal Customer,49,Business travel,Business,3,5,3,5,5,5,5,4,4,1,4,0,0,0,Satisfied
75140,Male,Loyal Customer,28,Business travel,Business,1,2,4,2,1,2,5,4,1,3,4,0,0,0,Satisfied
79597,Female,Loyal Customer,51,Business travel,Business,3,3,5,2,4,3,2,5,1,1,3,37,33,70,Satisfied
112017,Male,Loyal Customer,46,Business travel,Business,5,3,3,1,2,4,1,4,4,1,1,0,0,0,Satisfied
80282,Female,Loyal Customer,26,Business travel,Business,3,2,3,3,4,5,4,5,5,2,5,0,0,0,DisSatisfied
19508,Female,Loyal Customer,35,Business travel,Eco,1,2,1,3,2,1,2,5,4,4,5,0,8,8,Satisfied
129218,Male,Loyal Customer,40,Business travel,Business,5,1,2,1,1,3,1,3,1,5,5,12,4,16,Satisfied
74149,Female,Loyal Customer,41,Business travel,Eco,2,3,4,5,4,4,3,5,3,2,4,0,0,0,Satisfied
49273,Female,Loyal Customer,48,Business travel,Eco,3,5,5,5,1,1,2,5,3,5,4,0,0,0,Satisfied
69123,Male,Loyal Customer,51,Personal Travel,Eco,1,2,3,5,3,1,2,1,3,4,1,1,1,2,Satisfied
90121,Female,Loyal Customer,56,Business travel,Business,2,1,2,1,2,3,1,3,1,3,3,0,0,0,Satisfied
85098,Male,Loyal Customer,56,Business travel,Business,2,5,3,5,5,1,3,2,4,4,4,0,0,0,Satisfied
31393,Female,Loyal Customer,25,Business travel,Business,4,3,4,2,4,3,1,4,4,4,4,0,0,0,Satisfied
34990,Male,Loyal Customer,57,Business travel,Business,5,2,4,5,1,5,3,5,4,2,2,0,0,0,Satisfied
6451,Male,Loyal Customer,42,Business travel,Business,3,2,1,1,4,4,3,5,5,4,5,50,40,90,Satisfied
86981,Female,Loyal Customer,42,Business travel,Business,1,1,4,5,1,1,5,2,5,4,4,9,6,15,Satisfied
117423,Male,Loyal Customer,43,Business travel,Business,4,1,4,2,3,2,4,5,4,2,5,0,0,0,Satisfied
126706,Female,Loyal Customer,59,Business travel,Business,5,3,4,1,5,3,5,1,5,3,1,0,0,0,Satisfied
95436,Female,Loyal Customer,55,Business travel,Business,4,2,2,3,4,5,2,4,5,5,1,0,3,3,Satisfied
10424,Male,Loyal Customer,55,Business travel,Business,5,1,5,1,4,2,2,5,4,2,3,0,0,0,Satisfied
77117,Male,Loyal Customer,32,Personal Travel,Eco,5,2,5,4,1,4,1,3,4,4,1,0,0,0,DisSatisfied
78905,Male,Loyal Customer,52,Business travel,Business,3,3,4,3,1,5,1,3,1,2,3,0,0,0,Satisfied
20609,Female,Loyal Customer,43,Business travel,Eco,5,2,5,3,4,3,1,2,4,5,3,54,70,124,Satisfied
71451,Male,Loyal Customer,54,Business travel,Business,4,5,4,1,3,5,5,3,4,1,3,0,0,0,Satisfied
119044,Male,Loyal Customer,41,Business travel,Business,5,2,5,4,4,5,3,2,4,5,4,0,0,0,Satisfied
14094,Female,Loyal Customer,33,Business travel,Business,3,4,5,3,2,5,4,5,4,3,3,95,99,194,Satisfied
76529,Female,Loyal Customer,40,Business travel,Business,3,4,3,5,2,4,2,3,2,4,2,0,1,1,Satisfied
84111,Female,Loyal Customer,30,Business travel,Business,4,3,2,4,4,2,2,1,2,5,4,8,3,11,Satisfied
93290,Female,Loyal Customer,15,Personal Travel,Eco,2,3,3,4,3,5,1,2,3,2,2,0,1,1,DisSatisfied
82324,Female,Loyal Customer,38,Business travel,Business,2,3,3,1,1,1,5,3,4,1,2,38,80,118,DisSatisfied
100585,Male,Loyal Customer,63,Personal Travel,Eco,5,5,5,1,1,5,1,4,5,1,4,1,0,1,DisSatisfied
55371,Male,Loyal Customer,61,Business travel,Business,1,5,1,1,4,5,5,1,2,5,1,0,0,0,Satisfied
99735,Female,Loyal Customer,55,Business travel,Business,5,2,1,4,5,4,3,1,2,1,2,1,0,1,DisSatisfied
70746,Female,Loyal Customer,27,Personal Travel,Eco,4,1,2,2,1,4,1,2,1,3,2,0,0,0,Satisfied
3621,Female,Loyal Customer,20,Personal Travel,Business,4,4,4,1,2,4,3,3,5,5,3,93,92,185,Satisfied
112968,Female,Loyal Customer,34,Business travel,Business,4,4,5,2,2,4,2,4,5,5,3,45,62,107,Satisfied
85858,Male,Loyal Customer,35,Personal Travel,Leisure,4,4,2,3,5,5,2,3,2,4,2,14,7,21,DisSatisfied
124932,Male,Loyal Customer,65,Personal Travel,Eco,4,2,3,5,5,5,2,3,1,2,3,0,0,0,DisSatisfied
78508,Male,disloyal Customer,26,Business travel,Eco,3,2,5,5,2,3,3,3,3,4,3,0,0,0,DisSatisfied
107866,Male,disloyal Customer,22,Business travel,Business,2,3,3,2,4,4,1,2,4,2,5,26,32,58,Satisfied
4749,Male,disloyal Customer,43,Personal Travel,Eco,4,1,2,4,4,3,5,2,5,2,3,0,0,0,Satisfied
114666,Female,Loyal Customer,32,Business travel,Business,1,3,1,5,4,2,5,2,4,4,1,0,0,0,Satisfied
7955,Female,Loyal Customer,40,Business travel,Business,1,2,2,2,2,4,1,3,4,2,1,20,16,36,Satisfied
124494,Female,Loyal Customer,51,Business travel,Business,1,5,5,1,5,2,4,3,4,3,3,0,0,0,Satisfied
41282,Male,Loyal Customer,56,Business travel,Business,1,3,5,2,3,1,5,4,3,4,1,0,0,0,DisSatisfied
40966,Female,Loyal Customer,48,Business travel,Business,3,2,4,3,2,5,5,1,4,2,3,0,0,0,Satisfied
77697,Male,Loyal Customer,24,Business travel,Business,1,2,1,2,2,5,1,1,3,1,4,1,0,1,Satisfied
113067,Male,Loyal Customer,46,Business travel,Business,4,5,5,1,1,3,1,3,2,4,5,0,0,0,Satisfied
94306,Female,Loyal Customer,54,Business travel,Business,5,5,1,2,4,5,1,1,2,5,2,0,5,5,Satisfied
125594,Male,Loyal Customer,40,Business travel,Business,1,5,5,1,1,2,4,3,1,5,5,0,0,0,Satisfied
35852,Female,Loyal Customer,25,Business travel,Eco,3,1,1,1,2,5,3,5,5,1,3,0,0,0,Satisfied
93110,Male,Loyal Customer,30,Business travel,Business,3,2,2,3,2,4,2,1,1,5,3,0,0,0,Satisfied
13336,Male,Loyal Customer,49,Business travel,Business,1,5,1,3,2,1,3,2,5,1,3,0,21,21,Satisfied
60238,Male,disloyal Customer,35,Business travel,Eco,5,1,3,5,3,3,3,2,5,1,4,18,14,32,DisSatisfied
124294,Male,Loyal Customer,42,Business travel,Business,1,4,2,1,1,3,1,2,2,2,1,0,0,0,Satisfied
89367,Male,disloyal Customer,22,Business travel,Business,3,4,5,1,5,3,1,5,1,3,4,72,63,135,Satisfied
63810,Female,Loyal Customer,54,Business travel,Business,2,4,5,1,4,4,1,2,3,1,3,0,0,0,Satisfied
16525,Male,Loyal Customer,72,Business travel,Eco,4,2,4,5,4,5,2,5,3,1,5,0,0,0,Satisfied
67374,Male,Loyal Customer,55,Business travel,Business,3,1,3,4,3,4,3,3,5,4,1,0,24,24,Satisfied
70124,Female,Loyal Customer,57,Business travel,Business,1,1,4,3,1,2,2,4,3,2,2,0,4,4,Satisfied
9948,Female,Loyal Customer,49,Business travel,Business,4,4,2,3,4,5,5,5,2,1,5,0,0,0,Satisfied
54409,Female,Loyal Customer,35,Business travel,Business,1,3,4,1,2,4,3,2,1,3,3,0,24,24,Satisfied
11423,Female,Loyal Customer,60,Business travel,Business,1,4,2,5,1,2,2,2,3,3,4,0,0,0,Satisfied
13603,Male,Loyal Customer,30,Business travel,Leisure,2,2,4,1,4,2,2,5,5,4,5,0,0,0,Satisfied
110876,Male,disloyal Customer,42,Business travel,Business,4,4,1,3,1,4,4,1,1,2,4,0,0,0,Satisfied
69648,Female,disloyal Customer,25,Business travel,Business,4,4,2,5,3,4,2,2,3,4,4,0,0,0,Satisfied
13945,Female,Loyal Customer,42,Business travel,Business,2,1,2,2,5,1,2,1,3,5,2,7,3,10,Satisfied
105394,Female,Loyal Customer,62,Personal Travel,Eco,3,4,1,3,5,4,4,1,4,2,1,5,7,12,DisSatisfied
106729,Male,disloyal Customer,26,Business travel,Business,1,5,1,2,1,3,2,4,1,4,2,0,0,0,DisSatisfied
64472,Male,Loyal Customer,36,Business travel,Business,5,5,3,4,3,5,3,4,5,2,1,0,0,0,Satisfied
49241,Female,Loyal Customer,62,Business travel,Business,1,3,1,2,4,2,1,4,1,1,5,0,0,0,Satisfied
108367,Female,Loyal Customer,12,Personal Travel,Eco,1,2,4,5,2,3,3,3,5,5,1,41,44,85,DisSatisfied
2830,Female,Loyal Customer,47,Business travel,Business,3,2,1,2,1,3,1,5,5,2,5,0,10,10,Satisfied
81697,Female,Loyal Customer,52,Personal Travel,Eco,1,1,1,4,1,2,4,1,5,2,3,0,0,0,DisSatisfied
5956,Female,Loyal Customer,28,Business travel,Business,2,2,2,3,4,5,2,2,2,5,4,11,5,16,Satisfied
63408,Female,Loyal Customer,40,Personal Travel,Eco,2,3,2,4,2,1,4,3,3,1,3,0,0,0,DisSatisfied
80221,Female,Loyal Customer,50,Business travel,Business,4,5,1,5,2,1,4,4,3,3,2,0,0,0,Satisfied
98356,Male,Loyal Customer,29,Business travel,Business,5,1,3,2,4,3,4,5,3,5,1,0,0,0,Satisfied
60934,Female,Loyal Customer,54,Business travel,Business,1,5,2,2,1,3,3,3,2,5,1,0,0,0,Satisfied
99883,Male,disloyal Customer,26,Business travel,Business,1,3,4,5,4,4,4,2,3,4,2,0,13,13,Satisfied
19535,Female,Loyal Customer,50,Business travel,Eco,3,1,4,1,5,1,2,3,4,1,4,62,53,115,Satisfied
10721,Male,Loyal Customer,42,Business travel,Business,2,4,1,5,4,1,5,1,2,1,3,0,0,0,Satisfied
112035,Male,Loyal Customer,54,Business travel,Business,5,2,1,5,3,5,4,4,2,1,3,7,9,16,Satisfied
58159,Female,Loyal Customer,59,Business travel,Business,4,3,3,4,1,4,1,3,3,4,4,10,11,21,Satisfied
96400,Female,Loyal Customer,80,Business travel,Business,2,1,1,4,3,2,2,1,4,5,4,31,22,53,DisSatisfied
116817,Male,Loyal Customer,46,Business travel,Business,4,5,5,5,1,2,2,3,5,1,3,0,0,0,Satisfied
2928,Female,Loyal Customer,40,Business travel,Business,3,1,5,3,1,5,5,2,5,1,3,7,0,7,Satisfied
81012,Male,Loyal Customer,51,Business travel,Business,3,4,1,2,5,2,2,4,3,1,4,0,0,0,Satisfied
30780,Male,Loyal Customer,21,Business travel,Eco,1,3,5,5,4,1,2,4,1,3,1,20,26,46,Satisfied
116916,Female,Loyal Customer,44,Business travel,Business,5,1,4,1,4,3,4,3,3,1,1,17,25,42,Satisfied
110528,Male,disloyal Customer,25,Business travel,Business,4,3,1,2,5,4,5,5,3,2,1,0,0,0,Satisfied
100965,Female,Loyal Customer,59,Personal Travel,Eco,2,3,4,3,5,2,4,2,3,3,1,0,0,0,DisSatisfied
110854,Male,Loyal Customer,47,Business travel,Business,3,5,4,5,2,2,5,2,5,3,2,14,2,16,Satisfied
2730,Male,disloyal Customer,25,Business travel,Business,1,2,5,3,3,2,5,2,3,1,3,0,0,0,Satisfied
106517,Male,Loyal Customer,45,Business travel,Business,1,4,3,2,1,2,4,5,4,4,1,0,0,0,Satisfied
8889,Female,Loyal Customer,29,Personal Travel,Eco,4,1,4,1,2,3,2,5,1,5,2,0,0,0,DisSatisfied
19688,Male,Loyal Customer,34,Business travel,Business,3,2,5,2,4,3,3,2,3,4,2,70,30,100,Satisfied
54567,Male,Loyal Customer,39,Business travel,Leisure,5,5,3,2,2,5,4,4,1,4,2,92,75,167,Satisfied
98305,Male,Loyal Customer,51,Business travel,Business,3,2,5,5,4,1,5,1,2,5,4,0,0,0,Satisfied
95648,Female,Loyal Customer,40,Business travel,Business,4,3,5,2,5,2,4,3,1,3,3,0,2,2,Satisfied
122838,Male,Loyal Customer,27,Business travel,Business,4,3,1,5,1,5,2,3,5,3,4,1,0,1,Satisfied
73595,Male,disloyal Customer,23,Business travel,Business,3,4,2,5,1,1,3,5,5,4,3,0,0,0,Satisfied
84168,Female,disloyal Customer,32,Business travel,Business,4,1,3,3,1,3,2,2,5,5,3,0,0,0,DisSatisfied
61505,Male,Loyal Customer,54,Business travel,Eco,3,1,5,1,5,2,5,2,1,3,4,4,0,4,DisSatisfied
35385,Male,Loyal Customer,61,Business travel,Eco,2,5,4,5,4,3,5,4,3,1,1,56,92,148,Satisfied
113442,Female,Loyal Customer,66,Business travel,Business,3,4,4,4,5,2,5,3,3,2,2,0,0,0,Satisfied
122428,Male,Loyal Customer,41,Business travel,Eco,3,1,2,3,1,3,5,2,4,2,5,0,0,0,Satisfied
61731,Male,Loyal Customer,35,Business travel,Business,4,3,3,5,1,5,3,3,3,5,4,0,0,0,Satisfied
123552,Male,Loyal Customer,43,Business travel,Business,4,4,1,5,1,5,3,3,5,3,2,0,0,0,Satisfied
46047,Female,Loyal Customer,61,Business travel,Business,1,2,3,3,4,3,5,2,3,4,2,5,45,50,Satisfied
89737,Female,Loyal Customer,39,Personal Travel,Eco,1,4,4,2,4,3,4,3,2,1,1,0,0,0,Satisfied
77920,Male,Loyal Customer,47,Business travel,Business,2,4,4,5,2,4,1,3,2,4,3,56,52,108,Satisfied
49102,Male,Loyal Customer,39,Business travel,Eco,1,1,1,1,2,2,4,4,4,4,5,22,18,40,Satisfied
50759,Female,Loyal Customer,11,Personal Travel,Eco,3,5,1,5,3,4,4,5,2,2,2,42,56,98,DisSatisfied
90417,Male,Loyal Customer,34,Business travel,Business,4,5,4,3,4,3,5,5,2,5,1,0,0,0,Satisfied
7868,Male,Loyal Customer,28,Business travel,Business,1,1,5,4,5,5,3,4,5,2,2,0,0,0,Satisfied
74017,Female,Loyal Customer,52,Business travel,Business,1,1,5,3,4,2,3,2,4,5,5,0,0,0,Satisfied
76346,Female,Loyal Customer,46,Business travel,Business,2,1,1,3,2,5,4,3,4,2,2,22,21,43,Satisfied
51899,Female,disloyal Customer,30,Business travel,Eco,2,5,5,1,1,3,4,2,1,4,1,7,5,12,DisSatisfied
104071,Male,disloyal Customer,27,Business travel,Business,3,1,1,2,2,4,4,1,1,5,1,0,0,0,Satisfied
63145,Male,Loyal Customer,51,Business travel,Business,4,2,3,1,2,2,5,3,4,4,4,0,0,0,Satisfied
58187,Female,disloyal Customer,23,Business travel,Eco,2,2,3,1,2,4,2,1,1,5,3,12,5,17,Satisfied
